split,group,day,angle,label,RGB,VNIR,VNIR_1000nm,VNIR_800nm
test,Pepper/I/Healthy/pot_12,1,0,2,RGB/Pepper/I/Healthy/H_1_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_1_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_1_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_1_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,3,5,2,RGB/Pepper/I/Healthy/H_3_RGB_5_12.tiff,VNIR/Pepper/I/Healthy/H_3_VNIR_5_12.png,VNIR_1000nm/Pepper/I/Healthy/H_3_VNIR_1000nm_5_12.png,VNIR_800nm/Pepper/I/Healthy/H_3_VNIR_800nm_5_12.png
test,Pepper/I/Healthy/pot_12,5,0,2,RGB/Pepper/I/Healthy/H_5_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,9,0,2,RGB/Pepper/I/Healthy/H_9_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,9,5,2,RGB/Pepper/I/Healthy/H_9_RGB_5_12.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_5_12.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_5_12.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_5_12.png
test,Pepper/I/Healthy/pot_12,11,0,2,RGB/Pepper/I/Healthy/H_11_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,11,5,2,RGB/Pepper/I/Healthy/H_11_RGB_5_12.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_5_12.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_5_12.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_5_12.png
test,Pepper/I/Healthy/pot_12,13,0,2,RGB/Pepper/I/Healthy/H_13_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,13,5,2,RGB/Pepper/I/Healthy/H_13_RGB_5_12.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_5_12.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_5_12.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_5_12.png
test,Pepper/I/Healthy/pot_12,15,0,2,RGB/Pepper/I/Healthy/H_15_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,15,5,2,RGB/Pepper/I/Healthy/H_15_RGB_5_12.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_5_12.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_5_12.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_5_12.png
test,Pepper/I/Healthy/pot_12,17,0,2,RGB/Pepper/I/Healthy/H_17_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,17,15,2,RGB/Pepper/I/Healthy/H_17_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,19,0,2,RGB/Pepper/I/Healthy/H_19_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,19,15,2,RGB/Pepper/I/Healthy/H_19_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,21,0,2,RGB/Pepper/I/Healthy/H_21_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,21,15,2,RGB/Pepper/I/Healthy/H_21_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,23,0,2,RGB/Pepper/I/Healthy/H_23_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,23,15,2,RGB/Pepper/I/Healthy/H_23_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,25,0,2,RGB/Pepper/I/Healthy/H_25_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,25,15,2,RGB/Pepper/I/Healthy/H_25_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_25_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_25_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_25_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,27,0,2,RGB/Pepper/I/Healthy/H_27_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,27,15,2,RGB/Pepper/I/Healthy/H_27_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_27_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_27_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_27_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_12,29,0,2,RGB/Pepper/I/Healthy/H_29_RGB_0_12.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_0_12.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_0_12.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_0_12.png
test,Pepper/I/Healthy/pot_12,29,15,2,RGB/Pepper/I/Healthy/H_29_RGB_15_12.tiff,VNIR/Pepper/I/Healthy/H_29_VNIR_15_12.png,VNIR_1000nm/Pepper/I/Healthy/H_29_VNIR_1000nm_15_12.png,VNIR_800nm/Pepper/I/Healthy/H_29_VNIR_800nm_15_12.png
test,Pepper/I/Healthy/pot_13,5,0,2,RGB/Pepper/I/Healthy/H_5_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,5,5,2,RGB/Pepper/I/Healthy/H_5_RGB_5_13.tiff,VNIR/Pepper/I/Healthy/H_5_VNIR_5_13.png,VNIR_1000nm/Pepper/I/Healthy/H_5_VNIR_1000nm_5_13.png,VNIR_800nm/Pepper/I/Healthy/H_5_VNIR_800nm_5_13.png
test,Pepper/I/Healthy/pot_13,9,0,2,RGB/Pepper/I/Healthy/H_9_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,9,5,2,RGB/Pepper/I/Healthy/H_9_RGB_5_13.tiff,VNIR/Pepper/I/Healthy/H_9_VNIR_5_13.png,VNIR_1000nm/Pepper/I/Healthy/H_9_VNIR_1000nm_5_13.png,VNIR_800nm/Pepper/I/Healthy/H_9_VNIR_800nm_5_13.png
test,Pepper/I/Healthy/pot_13,11,0,2,RGB/Pepper/I/Healthy/H_11_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,11,5,2,RGB/Pepper/I/Healthy/H_11_RGB_5_13.tiff,VNIR/Pepper/I/Healthy/H_11_VNIR_5_13.png,VNIR_1000nm/Pepper/I/Healthy/H_11_VNIR_1000nm_5_13.png,VNIR_800nm/Pepper/I/Healthy/H_11_VNIR_800nm_5_13.png
test,Pepper/I/Healthy/pot_13,13,0,2,RGB/Pepper/I/Healthy/H_13_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,13,5,2,RGB/Pepper/I/Healthy/H_13_RGB_5_13.tiff,VNIR/Pepper/I/Healthy/H_13_VNIR_5_13.png,VNIR_1000nm/Pepper/I/Healthy/H_13_VNIR_1000nm_5_13.png,VNIR_800nm/Pepper/I/Healthy/H_13_VNIR_800nm_5_13.png
test,Pepper/I/Healthy/pot_13,15,0,2,RGB/Pepper/I/Healthy/H_15_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,15,5,2,RGB/Pepper/I/Healthy/H_15_RGB_5_13.tiff,VNIR/Pepper/I/Healthy/H_15_VNIR_5_13.png,VNIR_1000nm/Pepper/I/Healthy/H_15_VNIR_1000nm_5_13.png,VNIR_800nm/Pepper/I/Healthy/H_15_VNIR_800nm_5_13.png
test,Pepper/I/Healthy/pot_13,17,0,2,RGB/Pepper/I/Healthy/H_17_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,17,15,2,RGB/Pepper/I/Healthy/H_17_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_17_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_17_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_17_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,19,0,2,RGB/Pepper/I/Healthy/H_19_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,19,15,2,RGB/Pepper/I/Healthy/H_19_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_19_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_19_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_19_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,21,0,2,RGB/Pepper/I/Healthy/H_21_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_0_13.png
test,Pepper/I/Healthy/pot_13,21,15,2,RGB/Pepper/I/Healthy/H_21_RGB_15_13.tiff,VNIR/Pepper/I/Healthy/H_21_VNIR_15_13.png,VNIR_1000nm/Pepper/I/Healthy/H_21_VNIR_1000nm_15_13.png,VNIR_800nm/Pepper/I/Healthy/H_21_VNIR_800nm_15_13.png
test,Pepper/I/Healthy/pot_13,23,0,2,RGB/Pepper/I/Healthy/H_23_RGB_0_13.tiff,VNIR/Pepper/I/Healthy/H_23_VNIR_0_13.png,VNIR_1000nm/Pepper/I/Healthy/H_23_VNIR_1000nm_0_13.png,VNIR_800nm/Pepper/I/Healthy/H_23_VNIR_800nm_0_13.png
